Code,Country,NUTS level 1
AL0,Albania,Albania
AT1,Austria,Ostösterreich
AT2,Austria,Südösterreich
AT3,Austria,Westösterreich
BA0,Bosnia And Herzegovina,Bosnia And Herzegovina
BE1,Belgium,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest
BE2,Belgium,Vlaams Gewest
BE3,Belgium,Région wallonne
BG3,Bulgaria,North and Southeast Bulgaria
BG4,Bulgaria,Southwest and South Central Bulgaria
CH0,Switzerland,Switzerland
CY0,Cyprus,Cyprus
CZ0,Czech Republic,Czech Republic
DE1,Germany,Baden-Württemberg
DE2,Germany,Bayern
DE3,Germany,Berlin
DE4,Germany,Brandenburg
DE5,Germany,Bremen
DE6,Germany,Hamburg
DE7,Germany,Hessen
DE8,Germany,Mecklenburg-Vorpommern
DE9,Germany,Niedersachsen
DEA,Germany,Nordrhein-Westfalen
DEB,Germany,Rheinland-Pfalz
DEC,Germany,Saarland
DED,Germany,Sachsen
DEE,Germany,Sachsen-Anhalt
DEF,Germany,Schleswig-Holstein
DEG,Germany,Thüringen
DK0,Denmark,Denmark
EE0,Estonia,Estonia
EL3,Greece,Attica
EL4,Greece,"Aegean Islands, Crete"
EL5,Greece,Northern Greece
EL6,Greece,Central Greece
ES1,Spain,Northwest
ES2,Spain,Northeast
ES3,Spain,Madrid's community
ES4,Spain,Center
ES5,Spain,East
ES6,Spain,South
ES7,Spain,Canary Islands
FI1,Finland,Manner-Suomi
FI2,Finland,Åland
FR1,France,Ile-de-France
FRB,France,Centre — Val de Loire
FRC,France,Bourgogne-Franche-Comté
FRD,France,Normandie
FRE,France,Hauts-de-France
FRF,France,Grand Est
FRG,France,Pays de la Loire
FRH,France,Bretagne
FRI,France,Nouvelle-Aquitaine
FRJ,France,Occitanie
FRK,France,Auvergne-Rhône-Alpes
FRL,France,Provence-Alpes-Côte d’Azur
FRM,France,Corse
FRY,France,RUP FR — Régions Ultrapériphériques Françaises
HR0,Croatia,Hrvatska
HU1,Hungary,Közép-Magyarország
HU2,Hungary,Dunántúl
HU3,Hungary,Alföld és Észak
IE0,Ireland,Ireland
ITC,Italy,Northwest
ITF,Italy,South
ITG,Italy,Islands
ITH,Italy,North East
ITI,Italy,Center
LT0,Lithuania,Lietuva
LU0,Luxembourg,Luxembourg
LV0,Latvia,Latvia
ME0,Montenegro,Montenegro
MT0,Malta,Malta
NL1,Netherlands,North Netherlands
NL2,Netherlands,East Holland
NL3,Netherlands,West Netherlands
NL4,Netherlands,South of the Netherlands
NO,,
