Code,Country,NUTS level 1,NUTS level 2
AL0,Albania,Albania,
AL01,Albania,Albania,north
AL02,Albania,Albania,center
AL03,Albania,Albania,south
AT1,Austria,Ostösterreich,
AT11,Austria,Ostösterreich,Burgenland
AT12,Austria,Ostösterreich,Niederösterreich
AT13,Austria,Ostösterreich,Wien
AT2,Austria,Südösterreich,
AT21,Austria,Südösterreich,Kärnten
AT22,Austria,Südösterreich,Steiermark
AT3,Austria,Westösterreich,
AT31,Austria,Westösterreich,Oberösterreich
AT32,Austria,Westösterreich,Salzburg
AT33,Austria,Westösterreich,Tirol
AT34,Austria,Westösterreich,Vorarlberg
BA0,Bosnia And Herzegovina,Bosnia And Herzegovina,
BA00,Bosnia And Herzegovina,Bosnia And Herzegovina,
BE1,Belgium,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,
BE10,Belgium,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest
BE2,Belgium,Vlaams Gewest,
BE21,Belgium,Vlaams Gewest,Prov. Antwerpen
BE22,Belgium,Vlaams Gewest,Prov. Limburg (BE)
BE23,Belgium,Vlaams Gewest,Prov. Oost-Vlaanderen
BE24,Belgium,Vlaams Gewest,Prov. Vlaams-Brabant
BE25,Belgium,Vlaams Gewest,Prov. West-Vlaanderen
BE3,Belgium,Région wallonne,
BE31,Belgium,Région wallonne,Prov. Brabant Wallon
BE32,Belgium,Région wallonne,Prov. Hainaut
BE33,Belgium,Région wallonne,Prov. Liège
BE34,Belgium,Région wallonne,Prov. Luxembourg (BE)
BE35,Belgium,Région wallonne,Prov. Namur
BG3,Bulgaria,North and Southeast Bulgaria,
BG31,Bulgaria,North and Southeast Bulgaria,Northwest
BG32,Bulgaria,North and Southeast Bulgaria,North Central
BG33,Bulgaria,North and Southeast Bulgaria,Northeast
BG34,Bulgaria,North and Southeast Bulgaria,Southeast
BG4,Bulgaria,Southwest and South Central Bulgaria,
BG41,Bulgaria,Southwest and South Central Bulgaria,Southwestern
BG42,Bulgaria,Southwest and South Central Bulgaria,South central
CH0,Switzerland,Switzerland,
CH01,Switzerland,Switzerland,Région lémanique
CH02,Switzerland,Switzerland,Espace Mittelland
CH03,Switzerland,Switzerland,Nordwestschweiz
CH04,Switzerland,Switzerland,Zürich
CH05,Switzerland,Switzerland,Ostschweiz
CH06,Switzerland,Switzerland,Zentralschweiz
CH07,Switzerland,Switzerland,Ticino
CY0,Cyprus,Cyprus,
CY00,Cyprus,Cyprus,
CZ0,Czech Republic,Czech Republic,
CZ01,Czech Republic,Czech Republic,Prague
CZ02,Czech Republic,Czech Republic,Middle Bohemia
CZ03,Czech Republic,Czech Republic,Southwest
CZ04,Czech Republic,Czech Republic,Northwest
CZ05,Czech Republic,Czech Republic,Northeast
CZ06,Czech Republic,Czech Republic,Southeast
CZ07,Czech Republic,Czech Republic,Central Moravia
CZ08,Czech Republic,Czech Republic,Moravskoslezsko
DE1,Germany,Baden-Württemberg,
DE11,Germany,Baden-Württemberg,Stuttgart
DE12,Germany,Baden-Württemberg,Karlsruhe
DE13,Germany,Baden-Württemberg,Freiburg
DE14,Germany,Baden-Württemberg,Tübingen
DE2,Germany,Bayern,
DE21,Germany,Bayern,Oberbayern
DE22,Germany,Bayern,Niederbayern
DE23,Germany,Bayern,Oberpfalz
DE24,Germany,Bayern,Oberfranken
DE25,Germany,Bayern,Mittelfranken
DE26,Germany,Bayern,Unterfranken
DE27,Germany,Bayern,Schwaben
DE3,Germany,Berlin,
DE30,Germany,Berlin,
DE4,Germany,Brandenburg,
DE40,Germany,Brandenburg,
DE5,Germany,Bremen,
DE50,Germany,Bremen,
DE6,Germany,Hamburg,
DE60,Germany,Hamburg,
DE7,Germany,Hessen,
DE71,Germany,Hessen,Darmstadt
DE72,Germany,Hessen,Gießen
DE73,Germany,Hessen,Kassel
DE8,Germany,Mecklenburg-Vorpommern,
DE80,Germany,Mecklenburg-Vorpommern,
DE9,Germany,Niedersachsen,
DE91,Germany,Niedersachsen,Braunschweig
DE92,Germany,Niedersachsen,Hannover
DE93,Germany,Niedersachsen,Lüneburg
DE94,Germany,Niedersachsen,Weser-Ems
DEA,Germany,Nordrhein-Westfalen,
DEA1,Germany,Nordrhein-Westfalen,Düsseldorf
DEA2,Germany,Nordrhein-Westfalen,Köln
DEA3,Germany,Nordrhein-Westfalen,Münster
